HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
100.25.218.67:8080,1951.79,,103.111.54.148:1080,4612.51,,103.148.112.69:8199,3411.55,
1.15.65.64:8888,3674.55,,103.165.64.86:4153,2797.76,,103.16.62.138:10888,4014.73,
101.255.104.38:1080,3708.79,,103.152.106.2:1080,3791.84,,103.160.12.147:8199,5256.13,
1.4.164.7:8080,5071.45,,103.155.167.217:1080,5337.99,,103.189.63.149:53053,3419.54,
103.133.61.189:1010,3274.62,,103.152.92.134:21080,6323.82,,103.239.201.50:58765,7907.18,
102.68.128.212:8080,7368.31,,103.61.116.138:5678,4027.21,,104.248.197.67:1080,5772.52,
103.107.79.251:8080,6121.53,,103.65.214.166:4145,4459.91,,104.248.203.234:1080,5994.58,
103.111.39.85:8080,6336.74,,103.245.205.53:1080,6299.96,,114.117.234.74:8888,3106.89,
103.12.242.234:8080,6727.61,,103.28.86.241:57230,6959.49,,116.105.17.115:1080,3573.78,
103.126.87.155:8081,6857.31,,104.248.203.234:1080,6317.51,,117.161.170.163:9408,5878.12,
103.139.98.74:8080,4479.8,,110.74.195.152:1080,3496.99,,117.161.170.163:9002,7818.58,
103.148.130.50:8080,6494.38,,117.72.95.105:1080,4395.26,,119.98.140.21:1080,6149.14,
103.154.77.35:7070,5777.4,,118.70.211.121:60606,5786.09,,134.199.159.23:1080,3335.33,
103.155.234.9:8080,4861.48,,122.15.255.229:60606,5569.23,,139.59.24.173:1080,2979.36,
103.154.226.154:7788,7896.55,,124.41.213.174:5678,5625.0,,139.159.243.43:3000,3201.37,
103.176.96.158:8082,2363.12,,143.110.190.60:1080,2321.68,,125.141.133.46:5566,5923.67,
103.176.96.89:8082,2338.38,,136.233.136.41:43314,5255.99,,143.110.190.60:1080,3441.38,
103.176.97.248:8082,2359.0,,139.59.24.173:1080,5440.39,,14.225.194.159:1080,6336.91,
103.176.97.221:8082,3269.38,,138.186.155.2:1085,5840.02,,159.65.128.194:1080,3872.22,
103.178.137.129:3128,3336.2,,141.94.195.25:25043,5842.44,,163.172.128.222:16379,6654.31,
103.176.97.220:8082,3553.78,,161.35.31.237:1080,1496.34,,176.108.146.180:1080,5199.36,
103.170.46.245:8080,4222.79,,159.65.128.194:1080,5296.97,,185.93.89.145:4315,3007.01,
103.176.97.211:8082,3905.5,,170.78.211.161:1080,1137.2,,185.93.89.145:9738,3100.25,
103.169.128.133:8080,4949.64,,164.52.42.6:4145,5112.45,,185.93.89.145:7348,4277.72,
103.167.68.60:8080,5059.82,,168.232.213.9:4153,3949.94,,192.241.156.17:1080,2995.54,
103.172.196.221:8080,6470.56,,168.196.24.29:60606,6546.57,,213.221.22.9:1080,3521.08,
103.193.145.27:8080,4511.5,,177.67.136.25:4153,2239.83,,213.147.123.37:1080,3691.05,
103.194.175.181:7777,5468.39,,176.98.248.2:4153,3858.22,,221.225.66.37:8989,2849.4,
103.239.41.117:8080,5339.03,,176.88.166.215:1080,5276.36,,219.154.210.157:9999,3195.8,
103.224.125.38:2024,6103.39,,177.131.29.213:4153,5377.58,,212.47.250.36:16379,5029.73,
103.249.19.190:8080,5564.72,,181.204.4.74:5678,3297.14,,222.59.173.105:44178,4226.0,
103.248.222.0:90,6513.01,,180.191.22.50:4153,3902.51,,222.59.173.105:44009,4735.9,
103.242.104.178:8080,7123.94,,182.93.69.74:5678,6570.87,,213.226.122.5:7788,6051.21,
103.217.216.30:8080,7819.92,,185.32.4.110:4153,2443.98,,222.59.173.105:44015,5304.57,
103.76.109.201:8080,5391.09,,187.102.16.66:51327,1877.01,,222.59.173.105:44145,5323.36,
103.68.214.136:8181,6431.42,,187.216.144.170:5678,3535.61,,222.59.173.105:44103,5377.33,
103.97.140.177:8080,5277.39,,190.108.84.168:4145,1341.61,,222.59.173.105:44205,5349.53,
103.73.193.130:8080,7820.45,,185.23.73.1:1080,5626.05,,24.37.120.42:1080,2921.38,
103.9.134.234:100,7396.14,,190.104.26.227:33638,1796.47,,222.59.173.105:44153,5934.23,
103.88.91.14:8080,7978.88,,187.95.34.36:4145,5063.28,,222.59.173.105:44117,6127.63,
104.248.243.244:3128,5023.1,,192.169.140.98:45739,1311.96,,24.199.103.116:42206,3855.11,
107.6.7.232:3128,1908.32,,186.103.143.214:4153,5836.96,,222.59.173.105:44228,6789.03,
106.251.66.243:51034,3750.54,,190.12.95.170:37209,4016.71,,31.211.142.115:8192,3455.18,
111.72.129.239:2324,2844.67,,190.205.99.186:5678,4263.42,,222.59.173.105:44086,7275.98,
111.4.220.2:808,3692.3,,190.109.72.17:33633,4552.92,,222.59.173.105:44161,7588.86,
112.213.86.77:3128,2960.7,,192.177.139.119:9000,3668.8,,223.25.109.214:8199,6200.79,
112.216.83.10:3128,3245.87,,193.105.62.11:58973,3223.42,,222.59.173.105:44043,7696.62,
113.160.132.195:8080,2723.61,,192.241.156.17:1080,4497.96,,39.107.227.3:1111,3188.54,
109.201.13.186:8080,6688.17,,200.41.182.243:4145,1455.11,,39.108.80.57:1080,3420.9,
112.211.128.167:8082,5209.25,,20.83.154.79:7070,2796.62,,39.107.227.3:1024,3548.81,
