Proxy,Timestamp,Score,Success
104.155.15.30:80,1755152243,0.03,1
104.155.15.30:80,1755152243,0.01,1
106.14.104.220:20000,1755152243,0.00,0
47.122.56.158:80,1755152243,0.00,0
47.122.56.158:80,1755152243,0.00,0
47.122.56.158:80,1755152243,0.00,0
47.122.56.158:80,1755152243,0.00,0
120.25.189.254:8080,1755152243,0.00,0
120.25.189.254:8080,1755152243,0.00,0
47.119.22.92:9080,1755152243,0.00,0
47.119.22.92:9080,1755152243,0.00,0
121.40.189.171:8000,1755152243,0.00,0
121.40.189.171:8000,1755152243,0.00,0
39.102.214.199:57114,1755152243,0.00,0
39.102.214.199:57114,1755152243,0.00,0
39.101.65.228:3129,1755152243,0.00,0
39.101.65.228:3129,1755152243,0.00,0
39.101.65.228:3129,1755152243,0.00,0
171.228.90.134:1007,1755152243,0.00,0
47.254.36.213:45,1755152243,0.00,1
47.254.36.213:45,1755152243,0.00,0
8.211.194.78:5060,1755152243,0.00,1
8.211.194.78:5060,1755152243,0.00,0
8.211.194.85:1081,1755152243,0.00,1
8.211.194.85:1081,1755152243,0.00,1
47.91.115.179:8081,1755152243,0.00,1
72.10.160.171:29715,1755152243,1.72,1
47.250.177.202:9080,1755152243,0.00,1
8.212.151.166:18081,1755152243,0.00,1
171.251.24.106:10001,1755152243,0.00,0
171.251.24.106:10001,1755152243,0.00,0
8.215.12.103:1080,1755152243,0.00,1
47.88.11.3:3129,1755152243,0.00,1
47.88.11.3:3129,1755152243,0.00,1
8.213.128.90:8083,1755152243,0.00,1
8.215.15.163:50,1755152243,0.00,0
47.254.36.213:199,1755152243,0.00,0
209.97.150.167:3128,1755152243,0.00,0
138.68.60.8:3128,1755152243,0.00,0
35.230.115.171:8080,1755152243,0.00,0
138.197.155.38:80,1755152243,2.52,1
138.197.155.38:80,1755152243,2.51,1
89.31.143.12:80,1755152243,0.09,1
37.120.189.106:80,1755152243,0.01,1
178.33.13.233:80,1755152243,0.00,1
46.175.148.17:2040,1755152243,0.00,0
136.175.9.84:8081,1755152243,0.00,0
136.175.9.84:8081,1755152243,2.54,1
136.175.9.82:8084,1755152243,0.00,0
136.175.9.84:8085,1755152243,0.00,0
136.175.9.82:8081,1755152243,0.00,0
213.136.87.65:80,1755152243,0.10,1
136.175.9.83:8086,1755152243,0.00,0
139.162.78.109:3128,1755152243,0.00,0
136.175.9.86:8081,1755152243,0.00,0
136.175.9.86:8081,1755152243,0.00,0
136.175.9.86:8084,1755152243,0.00,0
8.148.20.126:3128,1755152243,0.00,0
118.31.43.236:443,1755152243,0.00,0
42.112.22.6:80,1755152243,0.00,0
112.126.68.169:8384,1755152243,0.00,0
120.26.0.11:8880,1755152243,0.00,0
47.96.70.163:8082,1755152243,0.00,0
47.120.26.153:8888,1755152243,0.00,0
120.55.240.71:8647,1755152243,0.00,0
120.55.240.71:8647,1755152243,0.00,0
115.239.234.43:7302,1755152243,0.00,1
115.239.234.43:7302,1755152243,0.00,1
120.79.7.173:8085,1755152243,0.00,0
47.92.248.86:8080,1755152243,0.00,0
8.146.207.243:8888,1755152243,0.00,0
8.146.207.243:8888,1755152243,0.00,0
8.146.207.243:8888,1755152243,0.00,0
47.96.42.36:80,1755152243,0.00,0
47.96.42.36:80,1755152243,0.00,0
139.196.156.220:8888,1755152243,0.00,0
8.148.20.126:9098,1755152243,0.00,0
156.67.214.232:80,1755152243,0.01,1
59.110.139.72:9030,1755152243,0.00,0
120.24.184.67:9800,1755152243,0.00,0
16.163.88.228:80,1755152243,0.00,1
16.163.88.228:80,1755152243,0.00,1
