HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
101.251.204.174:8080,1786.07,,177.38.245.110:55713,1706.33,,104.248.197.67:1080,1463.43,
1.15.65.64:8888,1991.15,,200.41.182.243:4145,1940.48,,104.248.203.234:1080,1735.34,
103.160.182.61:8082,2109.34,,181.15.154.154:52033,2970.24,,103.36.11.18:8199,2250.18,
103.160.182.59:8082,2116.88,,202.137.141.26:5678,3309.29,,103.151.30.49:1080,2703.86,
103.164.192.170:8082,2031.02,,193.34.161.137:44436,4190.88,,103.187.38.38:1080,3141.12,
103.164.192.120:8082,2100.31,,91.247.250.215:4145,1720.07,,103.245.205.26:6969,3275.8,
103.175.238.102:8082,1909.06,,46.29.116.6:4145,4046.44,,103.189.63.149:53053,3758.16,
103.175.238.193:8082,1908.69,,37.18.73.60:5566,7094.28,,103.249.200.152:1133,3881.8,
103.106.113.14:8082,2456.62,,,,,103.249.200.152:1145,4009.28,
103.176.97.211:8082,1939.82,,,,,103.148.112.70:8199,4611.25,
103.176.97.118:8082,1945.13,,,,,118.70.151.55:1080,2535.98,
103.175.238.110:8082,1972.01,,,,,128.199.37.92:1080,2289.64,
103.176.97.220:8082,1955.08,,,,,130.0.235.236:1080,1590.19,
103.176.97.248:8082,1964.71,,,,,121.169.46.116:1090,3252.31,
103.176.96.133:8082,1989.31,,,,,134.199.159.23:1080,1920.48,
103.176.96.107:8082,1993.55,,,,,146.70.164.210:1080,1702.03,
103.176.96.105:8082,1996.7,,,,,120.133.82.62:44088,4717.17,
103.176.97.202:8082,1987.76,,,,,117.161.170.163:9400,4877.92,
103.126.86.195:8082,2491.48,,,,,168.245.197.146:80,1542.21,
103.176.97.120:8082,2000.89,,,,,117.161.170.163:9309,4989.33,
103.176.97.221:8082,2007.98,,,,,154.26.134.220:1080,2046.24,
103.176.97.33:8082,2009.82,,,,,123.24.135.205:1080,4957.44,
103.176.96.172:8082,2027.3,,,,,117.161.170.163:9006,5446.3,
103.176.97.210:8082,2020.01,,,,,117.161.170.163:9033,5650.15,
103.176.97.208:8082,2054.43,,,,,116.105.17.115:1080,5796.15,
103.176.97.112:8082,2080.64,,,,,161.35.82.57:1080,2452.49,
103.31.233.9:8085,1980.02,,,,,161.35.31.237:1080,4290.37,
103.164.192.119:8082,2355.59,,,,,180.158.225.73:1080,2319.71,
103.176.96.53:8082,2276.34,,,,,185.93.89.145:9738,2582.52,
103.203.234.131:8082,2203.38,,,,,163.172.144.96:16379,7239.33,
103.176.96.106:8082,2330.57,,,,,185.93.89.145:6970,3379.37,
103.176.96.158:8082,2396.17,,,,,192.177.139.220:9000,2552.61,
103.176.96.171:8082,2421.22,,,,,192.177.33.17:9000,2636.15,
103.173.76.146:1111,2652.22,,,,,192.177.139.119:9000,2677.63,
103.172.23.90:1080,3148.04,,,,,206.189.57.182:1080,3444.76,
103.70.93.96:8082,2565.42,,,,,223.25.110.37:8199,2619.7,
103.19.58.174:8080,3465.66,,,,,223.25.109.146:8199,2770.74,
103.176.96.134:8082,3545.75,,,,,222.211.106.209:1080,3563.63,
101.255.208.98:8082,4564.98,,,,,212.47.240.97:16379,4301.78,
103.171.255.114:8080,4299.23,,,,,192.177.33.195:9000,4972.37,
103.172.42.121:8086,4583.4,,,,,212.47.244.254:16379,4869.04,
103.156.17.39:8818,5075.72,,,,,24.199.103.116:10716,4041.97,
103.88.238.3:8080,3105.22,,,,,36.150.8.61:1080,2120.92,
103.50.25.6:8080,5413.05,,,,,39.107.227.3:1024,2091.48,
103.85.52.254:8082,3604.71,,,,,39.107.227.3:1111,2094.13,
103.97.224.195:8085,3250.69,,,,,43.100.75.212:1111,2026.59,
103.97.224.221:8085,3610.09,,,,,45.146.130.43:4045,1937.92,
103.203.234.103:8080,6966.88,,,,,39.108.80.57:1080,2574.19,
103.85.60.170:8080,5391.81,,,,,212.47.229.46:16379,5571.83,
103.82.20.89:8888,6817.68,,,,,222.59.173.105:44145,4841.49,
13.216.247.146:3128,373.52,,,,,45.146.130.43:4013,2878.44,
13.114.9.221:3128,1118.54,,,,,222.59.173.105:44153,6043.44,
13.56.150.161:1080,294.56,,,,,45.89.28.226:12915,2996.93,
13.57.241.229:3128,299.33,,,,,43.100.75.212:1024,3734.39,
13.57.241.229:8002,298.25,,,,,34.124.190.108:8080,4427.99,
121.130.177.28:8888,1623.76,,,,,212.47.232.249:16379,7241.46,
118.31.68.123:8082,1872.15,,,,,47.239.188.28:1024,3531.21,
120.53.27.73:3128,1948.27,,,,,47.83.152.204:1111,3564.06,
118.175.174.58:8080,2003.5,,,,,57.129.81.201:1080,1932.48,
13.114.9.221:28902,1792.33,,,,,47.121.192.50:1080,4061.75,
13.40.30.235:33333,1052.08,,,,,46.10.229.243:7777,4400.48,
13.36.173.180:1080,1090.9,,,,,222.59.173.105:44241,7626.35,
13.36.173.180:3128,1089.06,,,,,42.193.101.38:1080,5096.48,
116.98.187.72:1011,2324.7,,,,,47.243.176.211:1111,4551.48,
116.103.132.205:1013,2597.3,,,,,222.59.173.105:44047,8611.08,
121.43.150.231:3128,2378.11,,,,,8.163.16.174:80,2215.64,
116.103.132.205:1027,2590.51,,,,,78.85.204.154:1080,2337.81,
13.212.76.113:2024,1750.4,,,,,89.169.36.109:1080,2146.82,
116.98.178.182:1028,2538.04,,,,,89.58.17.63:1111,1614.57,
13.212.81.49:1452,1733.24,,,,,51.15.205.29:16379,5130.81,
13.212.81.49:1231,1751.38,,,,,89.58.45.94:34329,2265.86,
13.48.138.241:3129,1288.67,,,,,8.222.186.44:1111,4060.12,
116.103.132.205:1008,2660.02,,,,,51.158.70.223:16379,7184.44,
13.49.64.201:3128,1303.54,,,,,,,
125.26.202.222:8080,2439.04,,,,,,,
114.250.20.229:9000,2950.08,,,,,,,
130.185.104.62:4128,1315.79,,,,,,,
13.60.209.160:3128,1323.41,,,,,,,
120.28.218.15:8082,2673.04,,,,,,,
13.232.122.43:1080,2058.29,,,,,,,
13.212.76.113:31322,2344.29,,,,,,,
120.77.8.130:3128,3750.82,,,,,,,
138.186.200.101:8081,1203.51,,,,,,,
138.186.200.253:8081,1354.98,,,,,,,
13.244.66.17:3128,2998.34,,,,,,,
116.68.250.46:8080,4142.22,,,,,,,
109.74.132.178:8080,4619.63,,,,,,,
128.199.121.61:9090,4259.56,,,,,,,
116.103.132.205:1028,4760.03,,,,,,,
139.162.78.109:3128,2129.39,,,,,,,
128.199.113.85:9090,5066.29,,,,,,,
138.68.60.8:3128,3283.46,,,,,,,
15.223.201.106:3128,1320.21,,,,,,,
15.223.115.238:1080,1464.99,,,,,,,
147.28.240.215:9401,1766.07,,,,,,,
147.28.240.218:9401,1818.39,,,,,,,
147.28.240.216:9400,1882.8,,,,,,,
15.237.182.89:3128,1768.69,,,,,,,
147.28.240.215:443,2055.31,,,,,,,
147.28.240.215:80,1978.75,,,,,,,
147.28.240.215:9400,2062.13,,,,,,,
147.28.240.216:9401,1953.83,,,,,,,
147.28.240.218:9443,1918.43,,,,,,,
145.40.96.157:443,2403.72,,,,,,,
147.28.240.217:9443,2143.71,,,,,,,
147.28.240.214:80,2046.87,,,,,,,
147.28.240.214:9401,2164.25,,,,,,,
152.53.194.46:8065,1933.06,,,,,,,
128.199.114.189:9090,6862.07,,,,,,,
147.28.240.217:443,2444.99,,,,,,,
145.40.96.156:443,2672.69,,,,,,,
15.237.53.60:55582,2310.64,,,,,,,
140.238.184.182:3128,4485.31,,,,,,,
147.28.240.218:9400,2309.42,,,,,,,
147.28.240.218:443,2701.27,,,,,,,
147.28.240.216:443,2985.55,,,,,,,
147.28.240.216:9443,2849.85,,,,,,,
147.28.240.215:9443,3037.17,,,,,,,
147.28.240.217:9401,2948.92,,,,,,,
147.28.240.214:9443,3049.37,,,,,,,
115.72.37.174:10010,8027.51,,,,,,,
147.28.240.218:80,3133.05,,,,,,,
147.28.240.214:9400,3223.65,,,,,,,
147.28.240.214:443,3284.48,,,,,,,
147.28.240.217:9400,3647.66,,,,,,,
147.28.240.217:80,3516.41,,,,,,,
152.42.170.187:9090,3749.97,,,,,,,
14.226.7.165:8080,5890.98,,,,,,,
157.175.45.145:7762,2475.25,,,,,,,
147.28.240.216:80,4279.25,,,,,,,
16.51.66.237:3128,2392.76,,,,,,,
16.62.75.166:1080,2446.52,,,,,,,
157.175.84.251:1080,3158.77,,,,,,,
149.86.146.239:8080,5132.03,,,,,,,
16.78.91.177:3128,2733.29,,,,,,,
16.28.61.56:3128,3267.54,,,,,,,
16.51.55.90:8085,3489.38,,,,,,,
16.24.150.247:5678,3599.97,,,,,,,
160.22.198.16:8082,2978.34,,,,,,,
160.22.198.17:8082,3541.65,,,,,,,
160.22.204.224:8085,3426.79,,,,,,,
163.223.78.125:8082,3001.51,,,,,,,
159.255.163.153:47193,5671.86,,,,,,,
161.248.169.202:8080,5475.24,,,,,,,
163.223.78.97:8080,6413.1,,,,,,,
173.209.63.66:8024,1392.2,,,,,,,
173.209.63.66:8159,1670.02,,,,,,,
173.209.63.67:8159,1636.65,,,,,,,
173.209.63.67:8051,1824.58,,,,,,,
173.209.63.68:8236,1604.87,,,,,,,
173.209.63.68:8178,1666.84,,,,,,,
173.209.63.67:8014,1862.19,,,,,,,
173.209.63.66:8229,1889.17,,,,,,,
173.209.63.67:8229,1792.12,,,,,,,
173.209.63.66:8144,1996.91,,,,,,,
173.209.63.68:8128,1749.27,,,,,,,
173.209.63.68:8229,1805.04,,,,,,,
173.209.63.68:8144,1865.2,,,,,,,
173.209.63.68:8063,1958.39,,,,,,,
173.209.63.66:8052,2259.83,,,,,,,
173.209.63.66:8063,2254.67,,,,,,,
